 : 18
Шаг : 1
на : 14
который : 2
ему : 12
придется : 5
пойти : 6
был : 5
одновременно : 11
опасным : 2
и : 15
унизительным : 2
Напротив : 15
него : 12
сидел : 5
Джордж : 1
Десять : 10
хладнокровный : 2
и : 15
невозмутимый : 2
чье : 2
спокойствие : 1
не : 16
нарушали : 5
ни : 16
явное : 2
смущение : 1
Харримана : 1
ни : 16
образ : 1
святой : 2
покровительницы : 1
роботов : 1
сиявшей : 7
в : 14
нише : 1
наверху : 11
Нам : 12
с : 14
тобой : 12
пока : 11
не : 16
удавалось : 5
поговорить : 6
об : 14
этом : 12
Джордж : 1
сказал : 5
Харриман : 1
Ты : 12
появился : 5
у : 14
нас : 12
недавно : 11
и : 15
мне : 12
не : 16
приходилось : 5
беседовать : 6
с : 14
тобой : 12
наедине : 11
Но : 15
теперь : 11
я : 12
хотел : 5
бы : 16
обсудить : 6
этот : 2
вопрос : 1
более : 11
подробно : 11
С : 14
удовольствием : 1
согласился : 5
Джордж : 1
За : 14
время : 1
моего : 2
пребывания : 1
в : 14
Ю : 1
С : 14
Роботс : 1
я : 12
понял : 5
что : 15
кризис : 1
фирмы : 1
какимто : 3
образом : 1
связан : 8
с : 14
Тремя : 10
Законами : 1
Да : 16
Ты : 12
конечно : 15
знаешь : 15
Три : 10
Закона : 1
Знаю : 5
Это : 16
естественно : 11
Но : 15
давай : 5
копнем : 5
глубже : 4
и : 15
рассмотрим : 5
основную : 2
проблему : 1
Достигнув : 9
за : 14
два : 10
столетия : 1
значительных : 2
успехов : 1
если : 15
можно : 13
так : 15
выразиться : 6
Ю : 1
С : 14
Роботс : 1
так : 15
и : 15
не : 16
сумела : 5
убедить : 6
человечество : 1
принять : 6
роботов : 1
Мы : 12
поставляем : 5
их : 12
только : 16
в : 14
такие : 2
места : 1
где : 11
работа : 1
человеку : 1
не : 16
под : 14
силу : 1
или : 15
окружающая : 2
среда : 1
слишком : 11
опасна : 3
Роботов : 1
используют : 5
в : 14
основном : 1
в : 14
космосе : 1
и : 15
это : 16
ограничивает : 5
наши : 2
возможности : 1
Однако : 15
даже : 16
в : 14
таких : 2
пределах : 1
поле : 1
деятельности : 1
остается : 5
широким : 2
заметил : 5
Джордж : 1
Десять : 10
и : 15
вполне : 11
достаточным : 2
для : 14
процветания : 1
фирмы : 1
Увы : 17
это : 16
не : 16
так : 15
и : 15
тому : 2
есть : 17
две : 10
причины : 1
Вопервых : 1
границы : 1
установленные : 2
для : 14
нас : 12
непрерывно : 11
сжимаются : 5
Колония : 1
на : 14
Луне : 1
растет : 5
развивается : 5
и : 15
ее : 12
потребность : 1
в : 14
роботах : 1
падает : 5
Мы : 12
предполагаем : 5
что : 15
в : 14
ближайшие : 2
годы : 1
роботы : 1
на : 14
Луне : 1
будут : 5
запрещены : 8
И : 15
так : 15
будет : 5
повторяться : 6
на : 14
